time,free,used,cached,buffers
2022-07-21 22:12:33,296.1172,2505.734,13141.77,65.5625
2022-07-21 22:12:32,295.9648,2505.867,13141.797,65.55469
2022-07-21 22:12:31,296.6797,2505.773,13141.176,65.55469
2022-07-21 22:12:30,296.3711,2506.16,13141.098,65.55469
2022-07-21 22:12:29,297.6641,2505.52,13140.445,65.55469
2022-07-21 22:12:28,297.1172,2506.199,13140.32,65.54688
2022-07-21 22:12:27,298.0391,2506.18,13139.426,65.53906
2022-07-21 22:12:26,297.9102,2506.355,13139.379,65.53906
2022-07-21 22:12:25,299.5625,2505.805,13138.277,65.53906
2022-07-21 22:12:24,300.0859,2505.797,13137.762,65.53906
2022-07-21 22:12:23,302.0938,2505.414,13136.137,65.53906
2022-07-21 22:12:22,302.2148,2505.863,13135.574,65.53125
2022-07-21 22:12:21,303.7852,2505.762,13134.105,65.53125
2022-07-21 22:12:20,303.5703,2506.855,13133.227,65.53125
2022-07-21 22:12:19,274.8086,2506.543,13162.309,65.52344
2022-07-21 22:12:18,275.0859,2506.734,13161.84,65.52344
2022-07-21 22:12:17,277,2506.543,13160.125,65.51562
2022-07-21 22:12:16,277.1445,2507.016,13159.508,65.51562
2022-07-21 22:12:15,279.207,2506.129,13158.332,65.51562
2022-07-21 22:12:14,279.3672,2506.547,13157.754,65.51562
2022-07-21 22:12:13,280.7227,2506.574,13156.371,65.51562
2022-07-21 22:12:12,280.2227,2506.609,13156.836,65.51562
2022-07-21 22:12:11,281.207,2505.98,13156.48,65.51562
2022-07-21 22:12:10,280.4688,2506.453,13156.746,65.51562
2022-07-21 22:12:09,280.9609,2506.227,13156.48,65.51562
2022-07-21 22:12:08,280.3672,2506.465,13156.836,65.51562
2022-07-21 22:12:07,281.168,2506.02,13156.48,65.51562
2022-07-21 22:12:06,280.4453,2506.344,13156.879,65.51562
2022-07-21 22:12:05,280.6914,2506.668,13156.316,65.50781
2022-07-21 22:12:04,280.1836,2506.746,13156.746,65.50781
2022-07-21 22:12:03,281.1836,2505.844,13156.648,65.50781
2022-07-21 22:12:02,280.4219,2506.418,13156.836,65.50781
2022-07-21 22:12:01,281.168,2505.902,13156.605,65.50781
2022-07-21 22:12:00,280.2148,2506.855,13156.605,65.50781
2022-07-21 22:11:59,281.1914,2505.898,13156.602,65.49219
2022-07-21 22:11:58,280.9219,2506.152,13156.617,65.49219
2022-07-21 22:11:57,281.5195,2505.656,13156.516,65.49219
2022-07-21 22:11:56,280.9375,2506.137,13156.617,65.49219
2022-07-21 22:11:55,281.3594,2505.73,13156.602,65.49219
2022-07-21 22:11:54,281.1133,2505.961,13156.617,65.49219
2022-07-21 22:11:53,281.2656,2505.91,13156.516,65.49219
2022-07-21 22:11:52,280.9297,2506.145,13156.617,65.49219
2022-07-21 22:11:51,281.4141,2505.676,13156.602,65.49219
2022-07-21 22:11:50,280.9141,2506.105,13156.672,65.49219
2022-07-21 22:11:49,281.6445,2505.375,13156.672,65.49219
2022-07-21 22:11:48,281.1367,2505.848,13156.707,65.49219
2022-07-21 22:11:47,281.8828,2505.207,13156.602,65.49219
2022-07-21 22:11:46,281.3984,2505.676,13156.617,65.49219
2022-07-21 22:11:45,281.8828,2505.332,13156.477,65.49219
2022-07-21 22:11:44,281.1445,2505.965,13156.582,65.49219
2022-07-21 22:11:43,282.1289,2505.086,13156.477,65.49219
2022-07-21 22:11:42,281.3203,2505.824,13156.547,65.49219
2022-07-21 22:11:41,282.0664,2505.078,13156.547,65.49219
2022-07-21 22:11:40,281.6367,2505.562,13156.492,65.49219
2022-07-21 22:11:39,282.6133,2504.531,13156.547,65.49219
2022-07-21 22:11:38,282.1289,2505.07,13156.492,65.49219
2022-07-21 22:11:37,282.8672,2504.473,13156.352,65.49219
2022-07-21 22:11:36,281.8672,2505.594,13156.238,65.48438
2022-07-21 22:11:35,282.6133,2504.414,13156.672,65.48438
2022-07-21 22:11:34,283.3672,2504.965,13155.367,65.48438
2022-07-21 22:11:33,282.1211,2505.168,13156.418,65.47656
2022-07-21 22:11:32,283.3672,2505.035,13155.305,65.47656
2022-07-21 22:11:31,281.8828,2505.645,13156.18,65.47656
2022-07-21 22:11:30,283.1172,2505.289,13155.301,65.47656
2022-07-21 22:11:29,282.4062,2504.953,13156.348,65.47656
2022-07-21 22:11:28,283.1445,2505.305,13155.258,65.47656
2022-07-21 22:11:27,281.9141,2505.535,13156.258,65.47656
2022-07-21 22:11:26,283.1445,2505.305,13155.258,65.47656
2022-07-21 22:11:25,281.9141,2505.535,13156.258,65.47656
2022-07-21 22:11:24,282.8984,2505.551,13155.258,65.47656
2022-07-21 22:11:23,281.7969,2505.387,13156.531,65.46875
2022-07-21 22:11:22,282.2852,2506.129,13155.301,65.46875
2022-07-21 22:11:21,281.6367,2505.82,13156.258,65.46875
2022-07-21 22:11:20,281.3711,2507.043,13155.301,65.46875
2022-07-21 22:11:19,280.0977,2507.156,13156.461,65.46875
2022-07-21 22:11:18,281.1445,2507.312,13155.258,65.46875
2022-07-21 22:11:17,280.7148,2506.637,13156.371,65.46094
2022-07-21 22:11:16,281.9453,2506.52,13155.258,65.46094
2022-07-21 22:11:15,280.9219,2506.359,13156.441,65.46094
2022-07-21 22:11:14,282.3516,2506.07,13155.301,65.46094
2022-07-21 22:11:13,281.9141,2505.551,13156.258,65.46094
2022-07-21 22:11:12,281.8242,2506.617,13155.281,65.46094
2022-07-21 22:11:11,280.9609,2506.434,13156.328,65.46094
2022-07-21 22:11:10,282.1289,2506.355,13155.238,65.46094
2022-07-21 22:11:09,281.3594,2506.125,13156.238,65.46094
2022-07-21 22:11:08,281.8516,2506.633,13155.238,65.46094
2022-07-21 22:11:07,280.8594,2506.465,13156.406,65.45312
2022-07-21 22:11:06,282.3359,2506.156,13155.238,65.45312
2022-07-21 22:11:05,281.6133,2505.801,13156.316,65.45312
2022-07-21 22:11:04,282.1211,2506.324,13155.285,65.45312
2022-07-21 22:11:03,281.6367,2505.688,13156.406,65.45312
2022-07-21 22:11:02,282.3672,2506.023,13155.348,65.44531
2022-07-21 22:11:01,281.668,2506.012,13156.066,65.4375
2022-07-21 22:11:00,282.0664,2506.207,13155.473,65.4375
2022-07-21 22:10:59,281.2266,2506.008,13156.512,65.4375
2022-07-21 22:10:58,282.2188,2505.961,13155.566,65.4375
2022-07-21 22:10:57,281.6367,2505.781,13156.328,65.4375
2022-07-21 22:10:56,282.5898,2505.816,13155.348,65.42969
2022-07-21 22:10:55,281.4414,2505.926,13156.387,65.42969
2022-07-21 22:10:54,282.1797,2506.133,13155.441,65.42969
2022-07-21 22:10:53,281.8516,2505.789,13156.113,65.42969
2022-07-21 22:10:52,282.0977,2506.059,13155.598,65.42969
2022-07-21 22:10:51,281.5742,2505.988,13156.191,65.42969
2022-07-21 22:10:50,282.6211,2505.535,13155.598,65.42969
2022-07-21 22:10:49,281.8555,2505.602,13156.297,65.42969
2022-07-21 22:10:48,282.4102,2505.902,13155.441,65.42969
2022-07-21 22:10:47,281.4531,2506.188,13156.113,65.42969
2022-07-21 22:10:46,282.6836,2505.48,13155.598,65.42188
2022-07-21 22:10:45,281.75,2505.715,13156.297,65.42188
2022-07-21 22:10:44,281.9961,2506.324,13155.441,65.42188
2022-07-21 22:10:43,281.4219,2506.227,13156.113,65.42188
2022-07-21 22:10:42,282.2344,2506.086,13155.441,65.42188
2022-07-21 22:10:41,281.9453,2505.703,13156.113,65.42188
2022-07-21 22:10:40,282.1914,2506.098,13155.473,65.42188
2022-07-21 22:10:39,281.207,2506.523,13156.031,65.42188
2022-07-21 22:10:38,282.4375,2505.602,13155.723,65.42188
2022-07-21 22:10:37,281.4531,2506.32,13155.988,65.42188
2022-07-21 22:10:36,282.4062,2505.641,13155.715,65.42188
2022-07-21 22:10:35,281.4219,2506.359,13155.988,65.41406
2022-07-21 22:10:34,282.4062,2505.641,13155.723,65.41406
2022-07-21 22:10:33,281.8906,2505.809,13156.07,65.41406
2022-07-21 22:10:32,282.375,2505.68,13155.715,65.41406
2022-07-21 22:10:31,281.6367,2506.152,13155.988,65.40625
2022-07-21 22:10:30,282.8984,2505.156,13155.723,65.40625
2022-07-21 22:10:29,281.875,2505.781,13156.129,65.39844
2022-07-21 22:10:28,282.8672,2505.359,13155.559,65.39844
2022-07-21 22:10:27,282.1289,2505.668,13155.988,65.39844
2022-07-21 22:10:26,282.6133,2505.613,13155.559,65.39844
2022-07-21 22:10:25,282.1602,2505.637,13155.988,65.39844
2022-07-21 22:10:24,282.8672,2505.32,13155.598,65.39844
2022-07-21 22:10:23,281.875,2506.047,13155.863,65.39844
2022-07-21 22:10:22,282.8672,2505.32,13155.598,65.39844
2022-07-21 22:10:21,281.8828,2506.047,13155.863,65.39062
2022-07-21 22:10:20,282.5898,2505.605,13155.598,65.39062
2022-07-21 22:10:19,281.7891,2505.91,13156.094,65.39062
2022-07-21 22:10:18,282.7812,2505.578,13155.434,65.39062
2022-07-21 22:10:17,282.1602,2505.77,13155.863,65.39062
2022-07-21 22:10:16,283.1211,2505.105,13155.59,65.36719
2022-07-21 22:10:15,281.8516,2506.02,13155.945,65.36719
2022-07-21 22:10:14,283.3594,2504.875,13155.582,65.36719
2022-07-21 22:10:13,282.1289,2505.84,13155.848,65.36719
2022-07-21 22:10:12,282.5586,2505.84,13155.418,65.36719
2022-07-21 22:10:11,281.8828,2506.086,13155.848,65.36719
2022-07-21 22:10:10,282.3438,2505.648,13155.824,65.36719
2022-07-21 22:10:09,281.0508,2506.844,13155.922,65.36719
2022-07-21 22:10:08,281.8516,2506.273,13155.699,65.35938
2022-07-21 22:10:07,281.1055,2507.004,13155.715,65.35938
2022-07-21 22:10:06,281.7656,2506.379,13155.68,65.35938
2022-07-21 22:10:05,281.082,2507.035,13155.715,65.35156
2022-07-21 22:10:04,282.0977,2506.035,13155.699,65.35156
2022-07-21 22:10:03,281.875,2506.25,13155.707,65.35156
2022-07-21 22:10:02,281.9453,2506.195,13155.691,65.35156
2022-07-21 22:10:01,281.4453,2506.68,13155.707,65.35156
2022-07-21 22:10:00,281.75,2506.672,13155.41,65.35156
2022-07-21 22:09:59,281.4453,2506.789,13155.605,65.34375
2022-07-21 22:09:58,282.4375,2505.992,13155.41,65.34375
2022-07-21 22:09:57,281.9141,2506.328,13155.605,65.33594
2022-07-21 22:09:56,282.6523,2505.605,13155.59,65.33594
2022-07-21 22:09:55,281.9062,2506.336,13155.605,65.33594
2022-07-21 22:09:54,282.4062,2505.781,13155.66,65.33594
2022-07-21 22:09:53,282.6836,2505.477,13155.688,65.33594
2022-07-21 22:09:52,282.9609,2505.438,13155.449,65.33594
2022-07-21 22:09:51,282.4688,2505.824,13155.555,65.33594
2022-07-21 22:09:50,283.668,2504.73,13155.449,65.33594
2022-07-21 22:09:49,282.9297,2505.398,13155.52,65.33594
2022-07-21 22:09:48,283.668,2504.66,13155.52,65.33594
2022-07-21 22:09:47,282.9062,2505.395,13155.547,65.33594
2022-07-21 22:09:46,282.8984,2505.508,13155.449,65.32812
2022-07-21 22:09:45,282.1602,2506.227,13155.469,65.32812
2022-07-21 22:09:44,282.6523,2505.754,13155.449,65.32812
2022-07-21 22:09:43,282.1602,2506.23,13155.465,65.32812
2022-07-21 22:09:42,282.9609,2505.453,13155.441,65.32812
2022-07-21 22:09:41,282.7148,2505.691,13155.449,65.32812
2022-07-21 22:09:40,283.1758,2504.996,13155.684,65.32812
2022-07-21 22:09:39,283.4219,2505.984,13154.449,65.32812
2022-07-21 22:09:38,282.6836,2505.723,13155.449,65.32812
2022-07-21 22:09:37,283.2266,2506.137,13154.492,65.32812
2022-07-21 22:09:36,282.6523,2505.672,13155.539,65.32031
2022-07-21 22:09:35,283.6367,2505.902,13154.324,65.32031
2022-07-21 22:09:34,282.9062,2505.52,13155.438,65.32031
2022-07-21 22:09:33,283.3828,2506.164,13154.316,65.32031
2022-07-21 22:09:32,282.8984,2505.535,13155.43,65.32031
2022-07-21 22:09:31,283.6367,2505.91,13154.316,65.32031
2022-07-21 22:09:30,283.3906,2505.172,13155.309,65.3125
2022-07-21 22:09:29,284.457,2505.062,13154.352,65.3125
2022-07-21 22:09:28,283.8828,2504.598,13155.391,65.3125
2022-07-21 22:09:27,285.082,2504.613,13154.184,65.30469
2022-07-21 22:09:26,284.5898,2503.902,13155.387,65.30469
2022-07-21 22:09:25,284.5898,2505.105,13154.184,65.30469
2022-07-21 22:09:24,283.8516,2504.844,13155.184,65.30469
2022-07-21 22:09:23,284.2852,2505.43,13154.164,65.30469
2022-07-21 22:09:22,283.668,2505.129,13155.082,65.30469
2022-07-21 22:09:21,284.8984,2504.914,13154.066,65.30469
2022-07-21 22:09:20,283.668,2505.145,13155.066,65.30469
2022-07-21 22:09:19,283.9141,2505.898,13154.066,65.30469
2022-07-21 22:09:18,283.1758,2505.504,13155.199,65.30469
2022-07-21 22:09:17,283.9141,2505.906,13154.066,65.29688
2022-07-21 22:09:16,283.1758,2505.555,13155.156,65.29688
2022-07-21 22:09:15,284.1602,2505.66,13154.066,65.29688
2022-07-21 22:09:14,283.1602,2505.547,13155.18,65.29688
2022-07-21 22:09:13,284.4062,2505.414,13154.066,65.29688
2022-07-21 22:09:12,283.1758,2505.562,13155.148,65.29688
2022-07-21 22:09:11,284.0547,2505.562,13154.27,65.29688
2022-07-21 22:09:10,283.5977,2505.062,13155.227,65.29688
2022-07-21 22:09:09,284.4062,2505.223,13154.258,65.29688
2022-07-21 22:09:08,283.668,2505.07,13155.148,65.29688
2022-07-21 22:09:07,284.0625,2505.555,13154.27,65.29688
2022-07-21 22:09:06,283.3906,2505.27,13155.227,65.29688
2022-07-21 22:09:05,284.375,2505.219,13154.293,65.29688
2022-07-21 22:09:04,283.6367,2505.191,13155.059,65.29688
2022-07-21 22:09:03,283.8555,2505.664,13154.367,65.29688
2022-07-21 22:09:02,283.1445,2505.703,13155.039,65.29688
2022-07-21 22:09:01,284.1289,2505.492,13154.273,65.28906
2022-07-21 22:09:00,283.6055,2505.18,13155.109,65.28906
2022-07-21 22:08:59,284.3438,2505.285,13154.273,65.28125
2022-07-21 22:08:58,283.5625,2505.035,13155.305,65.28125
2022-07-21 22:08:57,284.3086,2505.234,13154.359,65.28125
2022-07-21 22:08:56,283.6367,2505.234,13155.031,65.28125
2022-07-21 22:08:55,284.4062,2504.988,13154.508,65.28125
2022-07-21 22:08:54,283.5586,2505.047,13155.297,65.28125
2022-07-21 22:08:53,284.0781,2505.473,13154.352,65.28125
2022-07-21 22:08:52,283.1758,2505.715,13155.02,65.27344
2022-07-21 22:08:51,284.375,2505.031,13154.504,65.27344
2022-07-21 22:08:50,283.7852,2504.832,13155.293,65.27344
2022-07-21 22:08:49,285.0312,2504.531,13154.348,65.27344
2022-07-21 22:08:48,283.8828,2505.008,13155.02,65.27344
2022-07-21 22:08:47,284.8672,2504.672,13154.371,65.27344
2022-07-21 22:08:46,284.0664,2504.797,13155.047,65.27344
2022-07-21 22:08:45,284.8672,2504.691,13154.359,65.26562
2022-07-21 22:08:44,284.1289,2504.914,13154.875,65.26562
2022-07-21 22:08:43,284.4688,2504.961,13154.488,65.26562
2022-07-21 22:08:42,283.5742,2505.477,13154.875,65.25781
2022-07-21 22:08:41,284.3438,2504.973,13154.609,65.25781
2022-07-21 22:08:40,283.6055,2505.355,13154.965,65.25781
2022-07-21 22:08:39,284.3438,2504.973,13154.609,65.25781
2022-07-21 22:08:38,283.6055,2505.453,13154.867,65.25781
2022-07-21 22:08:37,284.9297,2504.402,13154.594,65.25781
2022-07-21 22:08:36,283.9453,2505.031,13154.949,65.25781
2022-07-21 22:08:35,284.6836,2504.648,13154.594,65.25781
2022-07-21 22:08:34,283.8516,2505.215,13154.859,65.25781
2022-07-21 22:08:33,284.8672,2504.473,13154.594,65.25
2022-07-21 22:08:32,283.8828,2505.191,13154.859,65.25
2022-07-21 22:08:31,284.8672,2504.598,13154.469,65.25
2022-07-21 22:08:30,283.6367,2505.562,13154.734,65.25
2022-07-21 22:08:29,284.5586,2504.93,13154.445,65.25
2022-07-21 22:08:28,284.4297,2504.832,13154.68,65.24219
2022-07-21 22:08:27,284.7422,2504.906,13154.293,65.24219
2022-07-21 22:08:26,284.668,2504.594,13154.68,65.24219
2022-07-21 22:08:25,285.375,2504.152,13154.414,65.24219
2022-07-21 22:08:24,284.6367,2504.484,13154.82,65.24219
2022-07-21 22:08:23,284.8828,2504.809,13154.25,65.24219
2022-07-21 22:08:22,284.1445,2505.117,13154.68,65.24219
2022-07-21 22:08:21,285.332,2504.324,13154.293,65.23438
2022-07-21 22:08:20,284.3828,2504.887,13154.68,65.23438
2022-07-21 22:08:19,285.0664,2504.477,13154.414,65.22656
2022-07-21 22:08:18,285.0664,2504.211,13154.68,65.22656
2022-07-21 22:08:17,285.6445,2504.02,13154.293,65.22656
2022-07-21 22:08:16,284.7578,2504.52,13154.68,65.22656
2022-07-21 22:08:15,285.5898,2503.836,13154.531,65.22656
2022-07-21 22:08:14,284.8516,2504.559,13154.547,65.22656
2022-07-21 22:08:13,285.5977,2503.828,13154.531,65.22656
2022-07-21 22:08:12,284.5977,2504.812,13154.547,65.22656
2022-07-21 22:08:11,285.0977,2504.328,13154.531,65.22656
2022-07-21 22:08:10,284.543,2504.867,13154.547,65.22656
2022-07-21 22:08:09,285.1602,2504.266,13154.531,65.22656
2022-07-21 22:08:08,284.4141,2504.996,13154.547,65.22656
2022-07-21 22:08:07,285.0977,2504.508,13154.352,65.22656
2022-07-21 22:08:06,284.3906,2505.027,13154.547,65.21875
2022-07-21 22:08:05,284.8438,2504.59,13154.531,65.21875
2022-07-21 22:08:04,284.0586,2505.359,13154.547,65.21875
2022-07-21 22:08:03,284.3594,2505.074,13154.531,65.21875
2022-07-21 22:08:02,283.8438,2505.582,13154.539,65.21875
2022-07-21 22:08:01,284.5664,2504.805,13154.594,65.21875
2022-07-21 22:08:00,284.1523,2505.281,13154.531,65.21875
2022-07-21 22:07:59,284.875,2504.629,13154.461,65.21875
2022-07-21 22:07:58,284.1445,2505.422,13154.406,65.21094
2022-07-21 22:07:57,284.3906,2505.121,13154.461,65.21094
2022-07-21 22:07:56,283.8984,2505.668,13154.406,65.21094
2022-07-21 22:07:55,284.875,2504.637,13154.461,65.21094
2022-07-21 22:07:54,284.3594,2505.207,13154.406,65.21094
2022-07-21 22:07:53,284.8594,2504.66,13154.461,65.20312
2022-07-21 22:07:52,284.1055,2505.469,13154.406,65.20312
2022-07-21 22:07:51,285.3516,2504.168,13154.461,65.20312
2022-07-21 22:07:50,284.3203,2505.262,13154.398,65.20312
2022-07-21 22:07:49,284.8125,2504.723,13154.445,65.20312
2022-07-21 22:07:48,284.3828,2505.215,13154.391,65.19531
2022-07-21 22:07:47,285.3672,2504.211,13154.41,65.19531
2022-07-21 22:07:46,284.8828,2504.715,13154.391,65.19531
2022-07-21 22:07:45,285.3438,2503.949,13154.695,65.19531
2022-07-21 22:07:44,285.3125,2505.285,13153.391,65.19531
2022-07-21 22:07:43,284.1797,2505.246,13154.562,65.19531
2022-07-21 22:07:42,286.543,2504.195,13153.266,65.17969
2022-07-21 22:07:41,285.5508,2504.074,13154.379,65.17969
2022-07-21 22:07:40,286.3281,2504.418,13153.258,65.17969
2022-07-21 22:07:39,285.3438,2504.402,13154.258,65.17969
2022-07-21 22:07:38,286.082,2504.664,13153.258,65.17969
2022-07-21 22:07:37,285.3438,2504.402,13154.258,65.17969
2022-07-21 22:07:36,286.3906,2504.363,13153.25,65.17969
2022-07-21 22:07:35,285.1602,2504.594,13154.25,65.17969
2022-07-21 22:07:34,286.3906,2504.363,13153.25,65.17969
2022-07-21 22:07:33,285.4062,2504.348,13154.25,65.17969
2022-07-21 22:07:32,285.6523,2505.102,13153.25,65.17969
2022-07-21 22:07:31,284.8828,2504.879,13154.25,65.17188
2022-07-21 22:07:30,285.5977,2504.965,13153.449,65.17188
2022-07-21 22:07:29,284.6055,2504.957,13154.449,65.17188
2022-07-21 22:07:28,286.082,2504.68,13153.25,65.17188
2022-07-21 22:07:27,285.0977,2504.672,13154.25,65.16406
2022-07-21 22:07:26,286.082,2504.82,13153.117,65.16406
2022-07-21 22:07:25,285.3438,2504.559,13154.117,65.16406
2022-07-21 22:07:24,285.5898,2505.312,13153.117,65.16406
2022-07-21 22:07:23,284.6055,2505.297,13154.117,65.16406
2022-07-21 22:07:22,286.0547,2504.805,13153.16,65.16406
2022-07-21 22:07:21,285.0977,2504.805,13154.117,65.16406
2022-07-21 22:07:20,286.3281,2504.574,13153.117,65.16406
2022-07-21 22:07:19,285.375,2504.258,13154.387,65.16406
2022-07-21 22:07:18,286.1133,2504.922,13152.992,65.15625
2022-07-21 22:07:17,285.0977,2504.938,13153.992,65.15625
2022-07-21 22:07:16,285.9102,2504.977,13153.141,65.15625
2022-07-21 22:07:15,285.3438,2504.586,13154.098,65.15625
2022-07-21 22:07:14,286.082,2504.906,13153.039,65.15625
2022-07-21 22:07:13,285.1289,2505.008,13153.891,65.15625
2022-07-21 22:07:12,285.8672,2505.086,13153.074,65.15625
2022-07-21 22:07:11,284.6367,2505.426,13153.965,65.15625
2022-07-21 22:07:10,285.375,2505.543,13153.109,65.15625
2022-07-21 22:07:09,284.3594,2505.793,13153.875,65.15625
2022-07-21 22:07:08,285.0977,2505.82,13153.109,65.15625
2022-07-21 22:07:07,284.1133,2506.039,13153.875,65.15625
2022-07-21 22:07:06,286.3359,2504.582,13153.109,65.15625
2022-07-21 22:07:05,285.0977,2505.055,13153.875,65.15625
2022-07-21 22:07:04,286.0234,2504.801,13153.203,65.15625
2022-07-21 22:07:03,285.0664,2505.086,13153.875,65.15625
2022-07-21 22:07:02,286.0508,2504.617,13153.359,65.15625
2022-07-21 22:07:01,285.3125,2504.75,13153.965,65.15625
2022-07-21 22:07:00,286.0508,2504.617,13153.359,65.15625
2022-07-21 22:06:59,285.0664,2505.086,13153.875,65.15625
2022-07-21 22:06:58,285.8359,2504.84,13153.359,65.14844
2022-07-21 22:06:57,285.2539,2504.91,13153.879,65.14062
2022-07-21 22:06:56,286.2461,2504.594,13153.203,65.14062
2022-07-21 22:06:55,285.3359,2505.023,13153.684,65.14062
2022-07-21 22:06:54,286.082,2504.629,13153.332,65.14062
2022-07-21 22:06:53,285.5898,2504.605,13153.848,65.14062
2022-07-21 22:06:52,286.2383,2504.637,13153.168,65.14062
2022-07-21 22:06:51,285.3438,2504.859,13153.84,65.14062
2022-07-21 22:06:50,286.082,2504.637,13153.324,65.14062
2022-07-21 22:06:49,285.3438,2504.859,13153.84,65.14062
2022-07-21 22:06:48,286.0508,2504.418,13153.574,65.14062
2022-07-21 22:06:47,285.0586,2505.145,13153.84,65.14062
2022-07-21 22:06:46,285.9492,2504.641,13153.453,65.14062
2022-07-21 22:06:45,285.375,2504.828,13153.84,65.14062
2022-07-21 22:06:44,285.8594,2504.609,13153.574,65.14062
2022-07-21 22:06:43,285.0977,2505.105,13153.84,65.14062
2022-07-21 22:06:42,285.8359,2504.641,13153.566,65.14062
