time,in,out
2022-07-22 09:42:17,166.88329,0
2022-07-22 09:42:16,323.8524,-9.575073
2022-07-22 09:42:15,180.4245,-3680.37
2022-07-22 09:42:14,336.8397,-11539.507
2022-07-22 09:42:13,0,-12739.822
2022-07-22 09:42:12,60.22978,-12287.926
2022-07-22 09:42:11,115.77022,-12863.793
2022-07-22 09:42:10,309.2578,-12708.722
2022-07-22 09:42:09,594.7422,-12299.567
2022-07-22 09:42:08,0,-10593.95
2022-07-22 09:42:07,0,-6053.143
2022-07-22 09:42:06,0,-3058.626
2022-07-22 09:42:05,0,-4610.864
2022-07-22 09:42:04,648.7317,-3873.18
2022-07-22 09:42:03,1247.2683,-4253.037
2022-07-22 09:42:02,0,-4671.354
2022-07-22 09:42:01,0,-4173.665
2022-07-22 09:42:00,0,-4371.816
2022-07-22 09:41:59,199.7377,-3656.025
2022-07-22 09:41:58,384.2623,-3948.28
2022-07-22 09:41:57,0,-4269.834
2022-07-22 09:41:56,0,-3989.942
2022-07-22 09:41:55,0,-4182.658
2022-07-22 09:41:54,0,-3698.091
2022-07-22 09:41:53,0,-4113.731
2022-07-22 09:41:52,0,-4467.222
2022-07-22 09:41:51,261.3392,-3836.836
2022-07-22 09:41:50,502.6608,-4234.144
2022-07-22 09:41:49,0,-4464.464
2022-07-22 09:41:48,0,-4099.845
2022-07-22 09:41:47,0,-4439.552
2022-07-22 09:41:46,0,-3754.644
2022-07-22 09:41:45,0,-4059.78
2022-07-22 09:41:44,0,-4293.465
2022-07-22 09:41:43,0,-4109.567
2022-07-22 09:41:42,0,-4598.7
2022-07-22 09:41:41,0,-3904.84
2022-07-22 09:41:40,0,-4253.105
2022-07-22 09:41:39,0,-4496.894
2022-07-22 09:41:38,0,-4121.828
2022-07-22 09:41:37,0,-4449.543
2022-07-22 09:41:36,0,-3906.654
2022-07-22 09:41:35,0,-4240.73
2022-07-22 09:41:34,0,-4397.477
2022-07-22 09:41:33,0,-4215.952
2022-07-22 09:41:32,0,-4612.161
2022-07-22 09:41:31,0,-3823.347
2022-07-22 09:41:30,0,-4137.409
2022-07-22 09:41:29,51.9742,-4365.513
2022-07-22 09:41:28,100.0258,-4152.355
2022-07-22 09:41:27,77.97618,-4479.372
2022-07-22 09:41:26,150.02382,-3761.401
2022-07-22 09:41:25,69.75791,-4121.11
2022-07-22 09:41:24,134.24209,-4379.875
2022-07-22 09:41:23,117.65435,-3849.249
2022-07-22 09:41:22,226.3457,-4189.329
2022-07-22 09:41:21,94.40643,-4522.591
2022-07-22 09:41:20,181.5936,-4113.118
2022-07-22 09:41:19,41.03471,-4331.285
2022-07-22 09:41:18,78.96529,-3602.309
2022-07-22 09:41:17,0,-4032.34
2022-07-22 09:41:16,166.90235,-4354.819
2022-07-22 09:41:15,321.0977,-3921.027
2022-07-22 09:41:14,95.72778,-4198.652
2022-07-22 09:41:13,184.2722,-3000.137
2022-07-22 09:41:12,0,-1446.9293
2022-07-22 09:41:11,0,-46.73379
2022-07-22 09:41:10,0,-42.42619
2022-07-22 09:41:09,0,-44.51706
2022-07-22 09:41:08,425.436,-55.27518
2022-07-22 09:41:07,818.564,-16.414237
2022-07-22 09:41:06,0,-34.32153
2022-07-22 09:41:05,0,-96.91898
2022-07-22 09:41:04,0,-196.8635
2022-07-22 09:41:03,0,-53.15916
2022-07-22 09:41:02,0,-42.73616
2022-07-22 09:41:01,0,-31.58642
2022-07-22 09:41:00,0,-28.72563
2022-07-22 09:40:59,0,-86.73399
2022-07-22 09:40:58,0,-60.54039
2022-07-22 09:40:57,23.25513,-17.78334
2022-07-22 09:40:56,44.74487,-35.58463
2022-07-22 09:40:55,0,-10.838756
2022-07-22 09:40:54,0,-33.57432
2022-07-22 09:40:53,0,-34.21895
2022-07-22 09:40:52,0,0
2022-07-22 09:40:51,0,-9.575105
2022-07-22 09:40:50,0,-29.36817
2022-07-22 09:40:49,0,-21.05673
2022-07-22 09:40:48,0,-1.3677033
2022-07-22 09:40:47,0,-24.51909
2022-07-22 09:40:46,15.046986,-47.58484
2022-07-22 09:40:45,28.95301,-22.84
2022-07-22 09:40:44,0,-46.94306
2022-07-22 09:40:43,0,-52.95281
2022-07-22 09:40:42,0,-28.10279
2022-07-22 09:40:41,0,-30.52958
2022-07-22 09:40:40,0,-18.63253
2022-07-22 09:40:39,0,-20.10211
2022-07-22 09:40:38,0,-26.63295
2022-07-22 09:40:37,0,-56.82878
2022-07-22 09:40:36,0,-85.80217
2022-07-22 09:40:35,0,-21.36939
2022-07-22 09:40:34,0,-51.36077
2022-07-22 09:40:33,0,-68.43143
2022-07-22 09:40:32,0,-12.311537
2022-07-22 09:40:31,497.9421,-64.72765
2022-07-22 09:40:30,958.0579,-78.96082
2022-07-22 09:40:29,0,-21.88551
2022-07-22 09:40:28,0,-54.42584
2022-07-22 09:40:27,0,-26.42471
2022-07-22 09:40:26,0,-10.735848
2022-07-22 09:40:25,124.48118,-35.15075
2022-07-22 09:40:24,239.5188,-69.26272
2022-07-22 09:40:23,0,-48.95422
2022-07-22 09:40:22,0,-20.0001
2022-07-22 09:40:21,0,-19.99981
2022-07-22 09:40:20,0,-21.36809
2022-07-22 09:40:19,0,-33.57505
2022-07-22 09:40:18,0,-49.26222
2022-07-22 09:40:17,0,-37.1622
2022-07-22 09:40:16,0,-22.63289
2022-07-22 09:40:15,0,-13.160066
2022-07-22 09:40:14,125.84576,-16.414664
2022-07-22 09:40:13,242.1542,-37.0568
2022-07-22 09:40:12,0,-20.10402
2022-07-22 09:40:11,0,-18.42452
2022-07-22 09:40:10,0,-9.575173
2022-07-22 09:40:09,0,-23.89641
2022-07-22 09:40:08,103.95823,-40.62159
2022-07-22 09:40:07,200.0418,-77.05696
2022-07-22 09:40:06,0,-39.5852
2022-07-22 09:40:05,195.5796,-17.57388
2022-07-22 09:40:04,376.4204,-33.26659
2022-07-22 09:40:03,0,-84.08132
2022-07-22 09:40:02,0,-126.34288
2022-07-22 09:40:01,0,-4.103869
2022-07-22 09:40:00,0,-14.735772
2022-07-22 09:39:59,0,-28.20888
2022-07-22 09:39:58,0,-37.15965
2022-07-22 09:39:57,0,-30.83866
2022-07-22 09:39:56,0,-28.95317
2022-07-22 09:39:55,0,-8.207996
2022-07-22 09:39:54,0,-29.47047
2022-07-22 09:39:53,0,-41.36853
2022-07-22 09:39:52,0,-44.00054
2022-07-22 09:39:51,0,-33.05591
2022-07-22 09:39:50,0,-17.47155
2022-07-22 09:39:49,0,-33.47192
2022-07-22 09:39:48,0,-31.6891
2022-07-22 09:39:47,0,-29.88689
2022-07-22 09:39:46,0,-48.74504
2022-07-22 09:39:45,0,-13.575363
2022-07-22 09:39:44,407.643,-29.26426
2022-07-22 09:39:43,784.357,-23.99963
2022-07-22 09:39:42,0,-36.31187
2022-07-22 09:39:41,0,-43.58486
2022-07-22 09:39:40,119.01105,-14.735786
2022-07-22 09:39:39,228.9889,-28.20758
2022-07-22 09:39:38,0,-30.32062
2022-07-22 09:39:37,0,-16.311858
2022-07-22 09:39:36,0,-39.99838
2022-07-22 09:39:35,0,-38.63238
2022-07-22 09:39:34,0,-31.89713
2022-07-22 09:39:33,0,-37.68032
2022-07-22 09:39:32,0,-55.79167
2022-07-22 09:39:31,0,-34.52777
2022-07-22 09:39:30,0,-33.57699
2022-07-22 09:39:29,0,-43.79176
2022-07-22 09:39:28,0,-41.67893
2022-07-22 09:39:27,0,-51.58448
2022-07-22 09:39:26,0,-24.10381
2022-07-22 09:39:25,222.9657,-31.9997
2022-07-22 09:39:24,429.0343,-52.519
2022-07-22 09:39:23,0,-64.64159
2022-07-22 09:39:22,0,-13.367239
2022-07-22 09:39:21,0,-16.001124
2022-07-22 09:39:20,0,-10.527943
2022-07-22 09:39:19,0,-25.98971
2022-07-22 09:39:18,0,-54.11413
2022-07-22 09:39:17,0,-36.62317
2022-07-22 09:39:16,12.31088,-55.273
2022-07-22 09:39:15,23.68912,-8.207368
2022-07-22 09:39:14,0,-19.89647
2022-07-22 09:39:13,0,-28.41574
2022-07-22 09:39:12,198.3724,-46.32084
2022-07-22 09:39:11,381.6276,-19.99914
2022-07-22 09:39:10,0,-17.2643
2022-07-22 09:39:09,0,-18.8395
2022-07-22 09:39:08,0,-38.8371
2022-07-22 09:39:07,154.5238,-36.95447
2022-07-22 09:39:06,297.4762,-27.1474
2022-07-22 09:39:05,0,-44.85355
2022-07-22 09:39:04,0,-12.104113
2022-07-22 09:39:03,0,-22.7356
2022-07-22 09:39:02,0,-58.09593
2022-07-22 09:39:01,0,-80.4324
2022-07-22 09:39:00,0,-17.46939
2022-07-22 09:38:59,0,-30.73586
2022-07-22 09:38:58,0,-27.79441
2022-07-22 09:38:57,0,-44.83142
2022-07-22 09:38:56,0,-79.27295
2022-07-22 09:38:55,0,-25.36703
2022-07-22 09:38:54,0,-25.2638
2022-07-22 09:38:53,0,-21.36839
2022-07-22 09:38:52,0,-29.47193
2022-07-22 09:38:51,0,-37.26359
2022-07-22 09:38:50,0,-27.89676
2022-07-22 09:38:49,0,-20.0001
2022-07-22 09:38:48,0,-18.63163
2022-07-22 09:38:47,0,-22.83958
2022-07-22 09:38:46,0,-37.36768
2022-07-22 09:38:45,0,-41.36756
2022-07-22 09:38:44,0,-34.42572
2022-07-22 09:38:43,0,-18.73644
2022-07-22 09:38:42,0,-15.791812
2022-07-22 09:38:41,0,-46.51098
2022-07-22 09:38:40,0,-100.43286
2022-07-22 09:38:39,0,-30.63117
2022-07-22 09:38:38,0,-28.00111
2022-07-22 09:38:37,0,-22.52752
2022-07-22 09:38:36,0,-85.87427
2022-07-22 09:38:35,0,-162.3343
2022-07-22 09:38:34,0,-27.79152
2022-07-22 09:38:33,0,-17.47254
2022-07-22 09:38:32,0,-22.52751
2022-07-22 09:38:31,0,-44.83263
2022-07-22 09:38:30,0,-71.0636
2022-07-22 09:38:29,0,-6.839234
2022-07-22 09:38:28,0,-17.26522
2022-07-22 09:38:27,0,-28.41473
2022-07-22 09:38:26,0,-90.09643
2022-07-22 09:38:25,0,-97.38439
2022-07-22 09:38:24,0,-10.943362
2022-07-22 09:38:23,0,-33.37326
2022-07-22 09:38:22,0,-26.42117
2022-07-22 09:38:21,0,-5.262204
2022-07-22 09:38:20,0,-38.30365
2022-07-22 09:38:19,0,-86.00748
2022-07-22 09:38:18,0,-31.89666
2022-07-22 09:38:17,0,-26.73533
2022-07-22 09:38:16,0,-34.73654
2022-07-22 09:38:15,0,-26.32033
2022-07-22 09:38:14,0,-19.15017
2022-07-22 09:38:13,0,-36.84983
2022-07-22 09:38:12,0,-19.15148
