time,free,used,cached,buffers
2022-07-20 23:00:08,30900.09,659.8203,529.5703,22.75391
2022-07-20 23:00:07,30902.79,658.2969,528.4062,22.74609
2022-07-20 23:00:06,30901.07,660.0547,528.3711,22.74609
2022-07-20 23:00:05,30898.36,662.9766,528.1602,22.73828
2022-07-20 23:00:04,30898.61,662.7461,528.1445,22.73828
2022-07-20 23:00:03,30898.36,663.0195,528.1328,22.73047
2022-07-20 23:00:02,30898.39,662.9961,528.125,22.73047
2022-07-20 23:00:01,30898.36,663.043,528.1094,22.73047
2022-07-20 23:00:00,30898.59,662.8438,528.0859,22.72266
2022-07-20 22:59:59,30898.62,662.8164,528.082,22.72266
2022-07-20 22:59:58,30897.87,663.5742,528.0703,22.72266
2022-07-20 22:59:57,30897.86,663.6094,528.0586,22.71484
2022-07-20 22:59:56,30898.34,663.1484,528.0352,22.71484
2022-07-20 22:59:55,30898.06,663.4414,528.0273,22.70703
2022-07-20 22:59:54,30898.05,663.4609,528.0156,22.70703
2022-07-20 22:59:53,30898.11,663.418,528.0039,22.70703
2022-07-20 22:59:52,30897.72,663.8477,527.9727,22.69922
2022-07-20 22:59:51,30898.16,663.4023,527.9727,22.69922
2022-07-20 22:59:50,30898.12,663.457,527.9648,22.69141
2022-07-20 22:59:49,30898.23,663.3672,527.9531,22.69141
2022-07-20 22:59:48,30897.97,663.6406,527.9336,22.69141
2022-07-20 22:59:47,30898.18,663.4414,527.9258,22.69141
2022-07-20 22:59:46,30898.69,662.9688,527.8984,22.68359
2022-07-20 22:59:45,30898.92,662.7461,527.8984,22.67578
2022-07-20 22:59:44,30898.88,662.7969,527.8867,22.67578
2022-07-20 22:59:43,30899.12,662.5703,527.875,22.67578
2022-07-20 22:59:42,30898.82,662.8867,527.8594,22.67578
2022-07-20 22:59:41,30899.21,662.5078,527.8516,22.66797
2022-07-20 22:59:40,30899.16,662.5898,527.8242,22.66016
2022-07-20 22:59:39,30899.39,662.3594,527.8242,22.66016
2022-07-20 22:59:38,30899.15,662.6133,527.8164,22.66016
2022-07-20 22:59:37,30899.47,662.3047,527.8008,22.66016
2022-07-20 22:59:36,30899.9,661.8945,527.7812,22.66016
2022-07-20 22:59:35,30899.71,662.1172,527.7656,22.64453
2022-07-20 22:59:34,30899.89,661.957,527.75,22.64453
2022-07-20 22:59:33,30899.94,661.9102,527.7422,22.64453
2022-07-20 22:59:32,30900.14,661.7539,527.6992,22.64453
2022-07-20 22:59:31,30900.2,661.6992,527.6992,22.64453
2022-07-20 22:59:30,30900.13,661.7773,527.6992,22.62891
2022-07-20 22:59:29,30899.94,661.9805,527.6875,22.62891
2022-07-20 22:59:28,30899.99,661.9453,527.6758,22.62891
2022-07-20 22:59:27,30899.99,661.957,527.6641,22.62891
2022-07-20 22:59:26,30899.66,662.3242,527.6289,22.62891
2022-07-20 22:59:25,30899.71,662.2695,527.6367,22.62109
2022-07-20 22:59:24,30899.16,662.8359,527.625,22.61328
2022-07-20 22:59:23,30899.47,662.5391,527.6133,22.61328
2022-07-20 22:59:22,30899.91,662.1133,527.6016,22.61328
2022-07-20 22:59:21,30899.72,662.3242,527.582,22.61328
2022-07-20 22:59:20,30899.97,662.082,527.5781,22.60547
2022-07-20 22:59:19,30899.74,662.3359,527.5625,22.59766
2022-07-20 22:59:18,30899.47,662.6289,527.5391,22.59766
2022-07-20 22:59:17,30899.52,662.5859,527.5352,22.59766
2022-07-20 22:59:16,30899.52,662.6133,527.5078,22.59766
2022-07-20 22:59:15,30899.56,662.5781,527.5117,22.58984
2022-07-20 22:59:14,30899.49,662.6758,527.4922,22.58203
2022-07-20 22:59:13,30899.84,662.332,527.4883,22.58203
2022-07-20 22:59:12,30900.04,662.1367,527.4766,22.58203
2022-07-20 22:59:11,30899.8,662.4062,527.4531,22.58203
2022-07-20 22:59:10,30899.8,662.418,527.4492,22.57422
2022-07-20 22:59:09,30899.55,662.6836,527.4375,22.56641
2022-07-20 22:59:08,30899.48,662.7695,527.4219,22.56641
2022-07-20 22:59:07,30899.38,662.8867,527.4102,22.56641
2022-07-20 22:59:06,30899.07,663.2422,527.3633,22.56641
2022-07-20 22:59:05,30899.07,663.2422,527.3711,22.55859
2022-07-20 22:59:04,30899.02,663.293,527.3672,22.55859
2022-07-20 22:59:03,30898.82,663.5078,527.3594,22.55078
2022-07-20 22:59:02,30899.04,663.3047,527.3398,22.55078
2022-07-20 22:59:01,30898.86,663.4922,527.3359,22.55078
2022-07-20 22:59:00,30899.02,663.3789,527.2969,22.54297
2022-07-20 22:58:59,30899.07,663.3242,527.2969,22.54297
2022-07-20 22:58:58,30899.29,663.1172,527.2969,22.53516
2022-07-20 22:58:57,30899.64,662.7734,527.2852,22.53516
2022-07-20 22:58:56,30899.23,663.2109,527.2578,22.53516
2022-07-20 22:58:55,30899.31,663.1328,527.2656,22.52734
2022-07-20 22:58:54,30899.06,663.3984,527.2539,22.52734
2022-07-20 22:58:53,30899.04,663.4336,527.2422,22.52734
2022-07-20 22:58:52,30899.14,663.3516,527.2227,22.51953
2022-07-20 22:58:51,30899.09,663.4141,527.2148,22.51953
2022-07-20 22:58:50,30899.3,663.2227,527.207,22.51172
2022-07-20 22:58:49,30899.03,663.5078,527.1914,22.51172
2022-07-20 22:58:48,30899.25,663.2969,527.1797,22.51172
2022-07-20 22:58:47,30899.28,663.2852,527.168,22.50391
2022-07-20 22:58:46,30899.34,663.2461,527.1523,22.50391
2022-07-20 22:58:45,30899.27,663.3281,527.1406,22.49609
2022-07-20 22:58:44,30899.3,663.3125,527.125,22.49609
2022-07-20 22:58:43,30899.52,663.1094,527.1133,22.49609
2022-07-20 22:58:42,30899.61,663.0391,527.0898,22.49609
2022-07-20 22:58:41,30899.56,663.1016,527.0898,22.48828
2022-07-20 22:58:40,30899.8,662.8828,527.0781,22.48047
2022-07-20 22:58:39,30899.79,662.9023,527.0664,22.48047
2022-07-20 22:58:38,30899.32,663.3867,527.0508,22.48047
2022-07-20 22:58:37,30899.56,663.1602,527.0391,22.48047
2022-07-20 22:58:36,30899.53,663.2266,527.0117,22.47266
2022-07-20 22:58:35,30899.28,663.4844,527.0156,22.45703
2022-07-20 22:58:34,30899.04,663.75,526.9883,22.45703
2022-07-20 22:58:33,30899.55,663.2422,526.9883,22.45703
2022-07-20 22:58:32,30899.8,663.0039,526.9805,22.45703
2022-07-20 22:58:31,30899.77,663.0469,526.9688,22.44922
2022-07-20 22:58:30,30899.55,663.2969,526.9492,22.44141
2022-07-20 22:58:29,30899.75,663.1094,526.9375,22.44141
2022-07-20 22:58:28,30899.88,662.9883,526.9258,22.44141
2022-07-20 22:58:27,30899.75,663.1328,526.9141,22.44141
2022-07-20 22:58:26,30899.51,663.3984,526.8867,22.44141
2022-07-20 22:58:25,30900.28,662.6484,526.8828,22.42578
2022-07-20 22:58:24,30899.93,663.0391,526.8477,22.41797
2022-07-20 22:58:23,30899.66,663.3086,526.8477,22.41797
2022-07-20 22:58:22,30899.72,663.2539,526.8477,22.41797
2022-07-20 22:58:21,30899.73,663.25,526.8359,22.41797
2022-07-20 22:58:20,30899.76,663.2461,526.8242,22.41016
2022-07-20 22:58:19,30899.73,663.2969,526.8125,22.40234
2022-07-20 22:58:18,30899.78,663.2617,526.7969,22.40234
2022-07-20 22:58:17,30899.82,663.2227,526.7891,22.40234
2022-07-20 22:58:16,30899.74,663.3242,526.7734,22.40234
2022-07-20 22:58:15,30899.58,663.5039,526.7539,22.40234
2022-07-20 22:58:14,30900.53,662.5781,526.7422,22.38672
2022-07-20 22:58:13,30900.08,663.0469,526.7266,22.38672
2022-07-20 22:58:12,30900.26,662.8867,526.7109,22.37891
2022-07-20 22:58:11,30900.32,662.8398,526.7031,22.37891
2022-07-20 22:58:10,30900.2,662.9648,526.6953,22.37891
2022-07-20 22:58:09,30899.57,663.625,526.6719,22.37109
2022-07-20 22:58:08,30900.02,663.1836,526.668,22.37109
2022-07-20 22:58:07,30900.01,663.2109,526.6562,22.36328
2022-07-20 22:58:06,30900,663.2305,526.6445,22.36328
2022-07-20 22:58:05,30899.63,663.6133,526.6328,22.36328
2022-07-20 22:58:04,30900.04,663.2266,526.6094,22.36328
2022-07-20 22:58:03,30899.52,663.7617,526.6055,22.35547
2022-07-20 22:58:02,30899.68,663.6328,526.582,22.34766
2022-07-20 22:58:01,30899.74,663.5742,526.5781,22.34766
2022-07-20 22:58:00,30899.71,663.6094,526.5664,22.34766
2022-07-20 22:57:59,30899.69,663.6445,526.5547,22.34766
2022-07-20 22:57:58,30899.52,663.8438,526.5312,22.33984
2022-07-20 22:57:57,30900.06,663.3203,526.5234,22.33203
2022-07-20 22:57:56,30900.01,663.3828,526.5156,22.33203
2022-07-20 22:57:55,30900,663.4023,526.5039,22.33203
2022-07-20 22:57:54,30899.98,663.4297,526.4922,22.33203
2022-07-20 22:57:53,30899.91,663.5469,526.4531,22.33203
2022-07-20 22:57:52,30900.16,663.3008,526.457,22.31641
2022-07-20 22:57:51,30900.03,663.4414,526.4492,22.31641
2022-07-20 22:57:50,30900.06,663.4414,526.418,22.31641
2022-07-20 22:57:49,30899.87,663.6328,526.418,22.31641
2022-07-20 22:57:48,30899.82,663.6953,526.4102,22.31641
2022-07-20 22:57:47,30900.13,663.4062,526.3984,22.30078
2022-07-20 22:57:46,30900.17,663.3984,526.3711,22.30078
2022-07-20 22:57:45,30900.27,663.2969,526.3711,22.30078
2022-07-20 22:57:44,30900.01,663.5664,526.3633,22.30078
2022-07-20 22:57:43,30899.87,663.7148,526.3516,22.30078
2022-07-20 22:57:42,30900.06,663.5508,526.332,22.29297
2022-07-20 22:57:41,30900.09,663.5352,526.3242,22.28516
2022-07-20 22:57:40,30900.09,663.543,526.3164,22.28516
2022-07-20 22:57:39,30900.12,663.5312,526.3047,22.28516
2022-07-20 22:57:38,30900.79,662.8828,526.2852,22.28516
2022-07-20 22:57:37,30900.62,663.0547,526.2812,22.27734
2022-07-20 22:57:36,30901.12,662.582,526.2617,22.26953
2022-07-20 22:57:35,30901.19,662.5312,526.25,22.26953
2022-07-20 22:57:34,30901.05,662.6758,526.2383,22.26953
2022-07-20 22:57:33,30901.1,662.6484,526.2188,22.26953
2022-07-20 22:57:32,30901.39,662.375,526.2148,22.26172
2022-07-20 22:57:31,30901.13,662.6523,526.1914,22.26172
2022-07-20 22:57:30,30901.14,662.6523,526.1914,22.25391
2022-07-20 22:57:29,30901.14,662.6641,526.1797,22.25391
2022-07-20 22:57:28,30901.34,662.4766,526.168,22.25391
2022-07-20 22:57:27,30901.19,662.6484,526.1562,22.24609
2022-07-20 22:57:26,30901.06,662.8008,526.1289,22.24609
2022-07-20 22:57:25,30901.19,662.6836,526.1289,22.23828
2022-07-20 22:57:24,30901.05,662.8281,526.1172,22.23828
2022-07-20 22:57:23,30900.9,662.9922,526.1055,22.23828
2022-07-20 22:57:22,30900.86,663.0586,526.0938,22.23047
2022-07-20 22:57:21,30900.62,663.3125,526.0781,22.23047
2022-07-20 22:57:20,30900.68,663.2695,526.0664,22.22266
2022-07-20 22:57:19,30900.46,663.5078,526.0508,22.22266
2022-07-20 22:57:18,30900.85,663.125,526.043,22.22266
2022-07-20 22:57:17,30900.84,663.1523,526.0312,22.21484
2022-07-20 22:57:16,30900.95,663.0625,526.0117,22.21484
2022-07-20 22:57:15,30900.89,663.1367,526,22.21484
2022-07-20 22:57:14,30901.07,662.9844,525.9766,22.20703
2022-07-20 22:57:13,30900.63,663.4258,525.9727,22.20703
2022-07-20 22:57:12,30901.11,662.9648,525.9648,22.19922
2022-07-20 22:57:11,30901.32,662.7695,525.9453,22.19922
2022-07-20 22:57:10,30901.33,662.7656,525.9414,22.19922
2022-07-20 22:57:09,30901.19,662.9297,525.9297,22.19141
2022-07-20 22:57:08,30901.08,663.0781,525.8906,22.19141
2022-07-20 22:57:07,30901.22,662.9375,525.8984,22.18359
2022-07-20 22:57:06,30900.88,663.2852,525.8906,22.18359
2022-07-20 22:57:05,30900.91,663.2656,525.8789,22.18359
2022-07-20 22:57:04,30901.36,662.8438,525.8555,22.18359
2022-07-20 22:57:03,30901.02,663.2031,525.8438,22.17578
2022-07-20 22:57:02,30901.19,663.043,525.8398,22.16797
2022-07-20 22:57:01,30901.59,662.6562,525.8281,22.16797
2022-07-20 22:57:00,30901.32,662.9492,525.8047,22.16797
2022-07-20 22:56:59,30901.07,663.207,525.793,22.16797
2022-07-20 22:56:58,30901.34,662.957,525.7812,22.16016
2022-07-20 22:56:57,30901.75,662.5625,525.7734,22.15234
2022-07-20 22:56:56,30901.63,662.7109,525.7422,22.15234
2022-07-20 22:56:55,30901.72,662.625,525.7422,22.15234
2022-07-20 22:56:54,30901.89,662.4648,525.7344,22.15234
2022-07-20 22:56:53,30902.04,662.3555,525.7031,22.14453
2022-07-20 22:56:52,30901.73,662.6641,525.7109,22.13672
2022-07-20 22:56:51,30901.94,662.4609,525.6992,22.13672
2022-07-20 22:56:50,30901.91,662.5039,525.6875,22.13672
2022-07-20 22:56:49,30901.98,662.4453,525.6758,22.13672
2022-07-20 22:56:48,30902.21,662.2305,525.6602,22.13672
2022-07-20 22:56:47,30902.23,662.2305,525.6523,22.12109
2022-07-20 22:56:46,30902.24,662.2344,525.6406,22.12109
2022-07-20 22:56:45,30901.96,662.5273,525.625,22.12109
2022-07-20 22:56:44,30902.25,662.2617,525.6055,22.12109
2022-07-20 22:56:43,30902.03,662.4883,525.6016,22.12109
2022-07-20 22:56:42,30901.94,662.6094,525.582,22.10547
2022-07-20 22:56:41,30901.93,662.6406,525.5664,22.10547
2022-07-20 22:56:40,30902.53,662.0508,525.5547,22.10547
2022-07-20 22:56:39,30902.27,662.3203,525.5469,22.10547
2022-07-20 22:56:38,30902.23,662.375,525.5312,22.10547
2022-07-20 22:56:37,30902.02,662.6055,525.5156,22.09766
2022-07-20 22:56:36,30902,662.6367,525.5078,22.08984
2022-07-20 22:56:35,30902.36,662.2891,525.4961,22.08984
2022-07-20 22:56:34,30902.28,662.3867,525.4805,22.08984
2022-07-20 22:56:33,30902.39,662.2969,525.4648,22.08984
2022-07-20 22:56:32,30902.21,662.4922,525.4492,22.08203
2022-07-20 22:56:31,30902.1,662.6289,525.4336,22.07422
2022-07-20 22:56:30,30902.34,662.3906,525.4336,22.07422
2022-07-20 22:56:29,30902.34,662.4023,525.4219,22.07422
2022-07-20 22:56:28,30902.08,662.6758,525.4102,22.07422
2022-07-20 22:56:27,30902.15,662.6289,525.3945,22.06641
2022-07-20 22:56:26,30901.79,663,525.3789,22.06641
2022-07-20 22:56:25,30902.39,662.4141,525.3711,22.05859
2022-07-20 22:56:24,30902.31,662.5078,525.3633,22.05859
2022-07-20 22:56:23,30902.66,662.1758,525.3477,22.05859
2022-07-20 22:56:22,30902.55,662.3008,525.332,22.05078
2022-07-20 22:56:21,30902.62,662.2383,525.3242,22.05078
2022-07-20 22:56:20,30902.39,662.4922,525.3086,22.04297
2022-07-20 22:56:19,30902.62,662.2734,525.2969,22.04297
2022-07-20 22:56:18,30902.09,662.8164,525.2852,22.04297
2022-07-20 22:56:17,30901.91,663.0195,525.2734,22.03516
2022-07-20 22:56:16,30902.27,662.6719,525.2617,22.03516
2022-07-20 22:56:15,30902.07,662.8945,525.2461,22.02734
2022-07-20 22:56:14,30902.09,662.8906,525.2344,22.02734
2022-07-20 22:56:13,30902.66,662.332,525.2227,22.02734
2022-07-20 22:56:12,30902.52,662.4922,525.2109,22.01953
2022-07-20 22:56:11,30902.65,662.3711,525.1992,22.01953
2022-07-20 22:56:10,30902.55,662.4766,525.1875,22.01953
2022-07-20 22:56:09,30902.64,662.4297,525.1562,22.01172
2022-07-20 22:56:08,30902.19,662.8867,525.1484,22.01172
2022-07-20 22:56:07,30902.68,662.418,525.1328,22.00391
2022-07-20 22:56:06,30902.42,662.6992,525.1211,21.99609
2022-07-20 22:56:05,30902.74,662.3984,525.1055,21.99609
2022-07-20 22:56:04,30902.61,662.5391,525.0977,21.98828
2022-07-20 22:56:03,30902.91,662.2578,525.0859,21.98828
2022-07-20 22:56:02,30902.9,662.2773,525.0742,21.98828
2022-07-20 22:56:01,30903.48,661.7188,525.0625,21.98047
2022-07-20 22:56:00,30903.42,661.8047,525.0312,21.98047
2022-07-20 22:55:59,30903.14,662.082,525.0312,21.98047
2022-07-20 22:55:58,30903.69,661.5469,525.0273,21.97266
2022-07-20 22:55:57,30903.14,662.1211,525.0156,21.96484
2022-07-20 22:55:56,30903.19,662.0781,525.0039,21.96484
2022-07-20 22:55:55,30902.95,662.3281,524.9922,21.96484
2022-07-20 22:55:54,30902.71,662.5859,524.9727,21.96484
2022-07-20 22:55:53,30902.95,662.3711,524.9648,21.95703
2022-07-20 22:55:52,30902.75,662.5938,524.9414,21.94922
2022-07-20 22:55:51,30902.25,663.0938,524.9414,21.94922
2022-07-20 22:55:50,30902.6,662.7578,524.9297,21.94922
2022-07-20 22:55:49,30902.65,662.7305,524.9062,21.94922
2022-07-20 22:55:48,30902.79,662.6055,524.9062,21.94141
2022-07-20 22:55:47,30902.43,662.9805,524.8945,21.93359
