time,in,out
2022-07-21 00:42:01,201.3494,-0.3532355
2022-07-21 00:42:00,57.92966,-7.646765
2022-07-21 00:41:59,95.59769,0
2022-07-21 00:41:58,0,-1.2302283
2022-07-21 00:41:57,0,-27.29789
2022-07-21 00:41:56,0,-11.471881
2022-07-21 00:41:55,0,0
2022-07-21 00:41:54,0,0
2022-07-21 00:41:53,0,-1.2302071
2022-07-21 00:41:52,0,-27.29722
2022-07-21 00:41:51,0,-11.472573
2022-07-21 00:41:50,0,0
2022-07-21 00:41:49,0,0
2022-07-21 00:41:48,0,-1.4008153
2022-07-21 00:41:47,0,-30.59918
2022-07-21 00:41:46,0,-0.5282337
2022-07-21 00:41:45,0,-11.471766
2022-07-21 00:41:44,0,0
2022-07-21 00:41:43,0,-1.2386603
2022-07-21 00:41:42,0,-26.76134
2022-07-21 00:41:41,0,-0.5273877
2022-07-21 00:41:40,0,-11.472612
2022-07-21 00:41:39,0,0
2022-07-21 00:41:38,0,-1.2382272
2022-07-21 00:41:37,0,-26.76177
2022-07-21 00:41:36,0,-0.8816083
2022-07-21 00:41:35,0,-36.32032
2022-07-21 00:41:34,0,-370.7981
2022-07-21 00:41:33,0,-1.2402869
2022-07-21 00:41:32,0,-26.75971
2022-07-21 00:41:31,0,0
2022-07-21 00:41:30,0,-0.5324489
2022-07-21 00:41:29,0,-11.467551
2022-07-21 00:41:28,0,-1.2375026
2022-07-21 00:41:27,0,-26.7625
2022-07-21 00:41:26,0,0
2022-07-21 00:41:25,0,-1.0632767
2022-07-21 00:41:24,0,-22.93672
2022-07-21 00:41:23,0,-1.222814
2022-07-21 00:41:22,0,-26.77719
2022-07-21 00:41:21,0,0
2022-07-21 00:41:20,0,-0.5294776
2022-07-21 00:41:19,0,-11.470522
2022-07-21 00:41:18,0,-1.230182
2022-07-21 00:41:17,0,-26.76982
2022-07-21 00:41:16,0,0
2022-07-21 00:41:15,0,0
2022-07-21 00:41:14,0,-0.5260764
2022-07-21 00:41:13,0,-12.708253
2022-07-21 00:41:12,0,-26.76567
2022-07-21 00:41:11,0,0
2022-07-21 00:41:10,0,0
